ID,type,name,longitude,latitude,destination_id
1326,dive_center,Dive Zone Ltd,25.956845,43.849897,853
1300,dive_center,Tieti Diving Eurl,165.320235,-20.929488,832
1486,dive_center,FISHING & SPORT,9.526328,41.097417,595
1500,dive_center,Rødme Dyk,10.488682,55.108269,967
1504,dive_center,Action Sport Am Grossen Stern,13.356232,52.521173,6167
1505,dive_center,Aqua-Nautic Wasserwelt,13.313225,52.503559,6167
1506,dive_center,Tiefenrausch,13.331372,52.491581,6167
1507,dive_center,Tauchzentrale Brandenburg,13.431608,52.496685,970
1508,dive_center,Atlantis Wassersport u. Mee(h)r Berlin,13.342562,52.450732,6167
1514,dive_center,7 Oceans,9.966499,53.582515,6205
1515,dive_center,Taucher Zentrum Planet Scuba,10.019064,53.56774,6205
1517,dive_center,Tauchen-Hamburg,10.003803,53.591938,6205
1498,dive_center,Sportsbutikken.dk,12.363179,55.663875,964
1601,dive_center,MAREdiving,16.563873,49.163411,1051
1603,dive_center,Potapeni Decin,14.240957,50.781469,1681
1604,dive_center,Outdoorovy obchod,15.552521,49.615634,1054
1600,dive_center,DIRECT OCEAN,16.601508,49.201374,1051
1652,dive_center,Tauchshop regler-service.at,16.413286,48.285343,1086
1653,dive_center,SeaStar Tauchsport,16.474931,48.265272,1086
1654,dive_center,CCR Tecdive,16.352793,48.139891,1149
1660,dive_center,Sharktime,14.241506,48.432273,6139
1661,dive_center,diverspassion.at,14.045624,48.140651,1091
1662,dive_center,Sauwald Aqua Team,13.79786,48.401427,1092
1664,dive_center,Under Pressure,13.572299,47.909318,1094
1666,dive_center,Sport Spezial,11.404102,47.269212,6324
1651,dive_center,Tauchzentrum Wien,16.377851,48.277339,6379
1729,dive_center,Atlantis Qualidive,13.562159,48.15377,1151
1728,dive_center,Tauchsport Zeus Faber,14.465705,48.143582,1150
1754,dive_center,Kuopion Sukelluskeskus,27.696002,62.893428,1171
1755,dive_center,Tampereen Sukelluskeskus,23.805036,61.496299,1172
1756,dive_center,Divextreme Dc,21.729087,61.471984,1173
1757,dive_center,Fun Dive OY,22.266713,60.453714,1174
1758,dive_center,A-Diving,25.68647,61.000455,1175
1759,dive_center,EW Dive,25.652699,60.981537,1175
1760,dive_center,Oulun Sukelluskeskus,25.470009,65.023538,1176
1761,dive_center,Spirado OY,24.406115,60.126909,1177
1762,dive_center,Dive Gear Service Finland,23.802427,61.143923,2143
1763,dive_center,Sukeltamo,23.699159,61.506157,1172
1764,dive_center,Varuste.net,24.861245,60.236573,1179
1765,dive_center,Ålesunds Dykkersenter AS,6.153613,62.473272,1180
1766,dive_center,Alf Lea as | dykk.no,5.262739,59.413108,1181
1767,dive_center,Dykkerhuset,10.649653,59.431599,1182
1768,dive_center,Nautic Service,10.934701,59.220537,1183
1769,dive_center,Bergen Froskemanncenter,5.329947,60.387519,1184
